"categoryQuestion_or","answer"
"PMGKS ରେ ଜମା କରିବା ପାଇଁ ଦେୟ ବିକଳ୍ପଗୁଡ଼ିକ କ’ଣ?","[""<p>ଏହି ଜମା ନଗଦ କିମ୍ବା ଡ୍ରାଫ୍ଟ ଆକାରରେ କରାଯିବ କିମ୍ବା ଏହିପରି ଜମା ଗ୍ରହଣ କରୁଥିବା ପ୍ରାଧିକୃତ ବ୍ୟାଙ୍କ ସପକ୍ଷରେ କିମ୍ବା ଇଲେକ୍ଟ୍ରୋନିକ୍ ଟ୍ରାନ୍ସଫର ଦ୍ୱାରା ଅଙ୍କିତ ଚେକ୍ ଆକାରରେ କରାଯିବ |</p>""]"
"ଏହି ବିନିଯୋଗ ପାଇଁ ନାମାଙ୍କନ ସୁବିଧା ଉପଲବ୍ଧ କି ନାହିଁ?","[""<p>ହଁ, ସରକାରୀ ସିକ୍ୟୁରିଟି ଆକ୍ଟ 2006 ଏବଂ ସରକାରୀ ସିକ୍ୟୁରିଟି ରେଗୁଲେସନ୍, 2007 ର ବ୍ୟବସ୍ଥା ଅନୁଯାୟୀ ନାମାଙ୍କନ ସୁବିଧା ଉପଲବ୍ଧ | ଆବେଦନ ଫର୍ମ ସହିତ ଏକ ନାମାଙ୍କନ ଫର୍ମ ଉପଲବ୍ଧ |</p>""]"
"ମୋର କେତେ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ଅଛି ମୁଁ ଯାଞ୍ଚ କରିପାରିବି କି?","[""<p>ଯେହେତୁ ସମସ୍ତ ନିବେଶକ ବ୍ୟକ୍ତିଗତ ପରିଚୟ ଧାରଣ କରନ୍ତି ଯାହା ଏକାଧିକ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ଧାରଣ କରିପାରିବ, NSDL ଏବଂ CSDL ବ୍ୟକ୍ତିବିଶେଷଙ୍କୁ ସେମାନଙ୍କର ସମସ୍ତ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ଏବଂ ସମସ୍ତ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ଷ୍ଟେଟମେଣ୍ଟଗୁଡିକର ଏକ ମାଷ୍ଟର ଡାଟାବେସ୍ ପ୍ରବେଶ କରିବାକୁ ଅନୁମତି ଦିଏ |</p>""]"
"କେତେବେଳେ ଅଭିଯୋଗ ଦାଖଲ କରିପାରିବ? (ଗ୍ରାହକ ହେଲ୍ପଲାଇନ। gov.in)","[""<p>ଯଦି ବ୍ୟାଙ୍କରୁ 30 ଦିନ ପର୍ଯ୍ୟନ୍ତ କୌଣସି ଉତ୍ତର ଗ୍ରହଣ ନହୁଏ କିମ୍ବା ବ୍ୟାଙ୍କ ଅଭିଯୋଗକୁ ପ୍ରତ୍ୟାଖ୍ୟାନ କରେ କିମ୍ବା ବ୍ୟାଙ୍କ ଦେଇଥିବା ଉତ୍ତରରେ ଅଭିଯୋଗକାରୀ ସନ୍ତୁଷ୍ଟ ନହୁଏ ତେବେ ବ୍ୟାଙ୍କ ଓମ୍ବଡସମ୍ୟାନଙ୍କ ନିକଟରେ ଅଭିଯୋଗ କରିପାରିବେ।</p>""]"
"UAN ସୃଷ୍ଟି କରିବାକୁ ଡକ୍ୟୁମେଣ୍ଟଗୁଡିକ କ’ଣ ଆବଶ୍ୟକ?","[""<p>UAN ସୃଷ୍ଟି କରିବା ପାଇଁ ଆବଶ୍ୟକ ସମସ୍ତ ଡକ୍ୟୁମେଣ୍ଟଗୁଡିକର ଏକ ତାଲିକା ଏଠାରେ ଅଛି | <ul> <li> ପରିଚୟ ପ୍ରମାଣ- ଡ୍ରାଇଭିଂ ଲାଇସେନ୍ସ, ପାସପୋର୍ଟ, ଭୋଟର ID ଇତ୍ୟାଦି </ li> <li> ଠିକଣା ପ୍ରମାଣ- ସମ୍ପ୍ରତି ୟୁଟିଲିଟି ବିଲ୍ ଭଡା କିମ୍ବା ଲିଜ୍ ଚୁକ୍ତି, ରେସନ କାର୍ଡ, ଇତ୍ୟାଦି </ li> <li> ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ବିବରଣୀ- ଆକାଉଣ୍ଟ ନମ୍ବର ଏବଂ IFSC କୋଡ୍ </ li> <li> ପାନ୍ କାର୍ଡ </ li> <li> ଆଧାର କାର୍ଡ </ li> <li> ESIC କାର୍ଡ </ li> </ul></p>""]"
"UPI କାରବାରକୁ ନେଇ ମୁଁ କେଉଁଠାରେ ଅଭିଯୋଗ ପଞ୍ଜିକରଣ କରିବି?","[""<p>ଆପଣ ଭାଗ ନେଉଥିବା ବ୍ୟାଙ୍କ କିମ୍ବା ଥାର୍ଡ ପାର୍ଟି ଆପର ଭୀମ ୟୁପିଆଇ ସକ୍ଷମ ଆପ ଜରିଆରେ ୟୁପିଆଇ କାରବାରର ସ୍ଥିତି ଯାଞ୍ଚ କରିପାରିବେ କିମ୍ବା ନିଜର ଅଭିୟୋଗ ଉଠାଇପାରିବେ। ଆପଣ ଆପଣଙ୍କ ବ୍ୟାଙ୍କ ସହିତ ମଧ୍ୟ ଯୋଗାୟୋଗ କରିପାରିବେ ଯେଉଁଠାରେ ଆପଣ ଡେବିଟ୍ ହୋଇଥିବା ଆକାଉଣ୍ଟ ରଖୁଛନ୍ତି।ଆପଣଙ୍କ ବ୍ୟାଙ୍କ/ସଂସ୍ଥାର ନାମ ମୋତେ ଜଣାନ୍ତୁ।</p>""]"
"ଡେମାଟ୍ ଆକାଉଣ୍ଟକୁ କିପରି ବନ୍ଦ / ନିଷ୍କ୍ରିୟ କରିବେ?","[""<p>କୋଣସି ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ନିଷ୍କ୍ରିୟ ଏବଂ ଅନେକ ମାସ ପର୍ଯ୍ୟନ୍ତ କୋଣସି କାରବାର ଦେଖେ ନାହିଁ | ତଥାପି, ନିବେଶକଙ୍କ ସୁରକ୍ଷା ପାଇଁ ଡେମାଟ ଆକାଉଣ୍ଟକୁ ପରିଚାଳନା କରିବା ଏବଂ ନିବେଶକ କ share ଣସି ଅଂଶଧନ କିଣନ୍ତି କି ନାହିଁ ତାହା ଉପରେ ନଜର ରଖିବା ପାଇଁ ଷ୍ଟକ୍ ବ୍ରୋକର୍ କିମ୍ବା ଡିପି ଆଇନଗତ ଭାବେ ଦାୟୀ | <br> <br> ତେଣୁ, ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ବଜାୟ ରଖିବା ପାଇଁ ଦିଆଯାଇଥିବା ସେବାଗୁଡିକ ପାଇଁ, ଷ୍ଟକ୍ବ୍ରୋକର୍ ନିବେଶକମାନଙ୍କୁ ଚାର୍ଜ କରନ୍ତି | ରକ୍ଷଣାବେକ୍ଷଣ ଦେୟକୁ ବାର୍ଷିକ ରକ୍ଷଣାବେକ୍ଷଣ ଚାର୍ଜ କୁହାଯାଏ, ଏବଂ କ trading ଣସି ବାଣିଜ୍ୟ କ୍ଷେତ୍ରରେ ମଧ୍ୟ ନିବେଶକଙ୍କୁ ଦେବାକୁ ପଡିବ | <br> <br> ଅଧିକନ୍ତୁ, ସୁପ୍ତ ଡେମାଟ୍ ଆକାଉଣ୍ଟଗୁଡିକ ସ୍କାମରଙ୍କ ପାଇଁ ଏକ ଜ୍ୟାକପଟ୍ ପରି, ଯେଉଁମାନେ ଆଗ ଚାଲିବା ପ୍ରକ୍ରିୟାରେ ନିୟୋଜିତ ଅଟନ୍ତି | ସେମାନେ ବେଆଇନ ଭାବରେ ନିଷ୍କ୍ରିୟ କିମ୍ବା ସୁପ୍ତ ଡେମାଟ ଆକାଉଣ୍ଟକୁ ପ୍ରବେଶ ଏବଂ ଅନ୍ତର୍ନିହିତ ବାଣିଜ୍ୟ ଉପରେ ଆଧାର କରି ସିକ୍ୟୁରିଟି କିଣିବା ଏବଂ ବିକ୍ରୟ କରିବା ପାଇଁ ସେମାନଙ୍କ ଡେମାଟ ଆକାଉଣ୍ଟ ସ୍କାମରେ ଦୃଶ୍ୟମାନ ନହେବାକୁ ଆକ୍ସେସ୍ କରନ୍ତି | <br> <br> ତେଣୁ, ଆପଣ ଜାଣିବା ଆବଶ୍ୟକ କରନ୍ତି ଯେ ଅନାବଶ୍ୟକ ଚାର୍ଜ ବନ୍ଦ କରିବା ଏବଂ ନିଜକୁ ଏକ ଆଗୁଆ ସ୍କାମର ଅଂଶରୁ ରକ୍ଷା କରିବା ପାଇଁ ଆପଣଙ୍କର ଡେମାଟ୍ ଆକାଉଣ୍ଟକୁ କିପରି ବନ୍ଦ କରିବେ |</p>""]"
"ଅପ୍ ସ୍କାନ୍ ମୋ ଅପ୍ ଆଇଡିରେ କାମ କରୁନାହିଁ |","[""<p>ନିଶ୍ଚିତ କରନ୍ତୁ ଯେ ଆପଣ ଅପ୍ ଆପ୍ ର ସର୍ବଶେଷ ସଂସ୍କରଣ ବ୍ୟବହାର କରୁଛନ୍ତି, ଆପଣଙ୍କର ଭଲ ଇଣ୍ଟରନେଟ୍ ସଂଯୋଗ ଅଛି, ଏବଂ ଆପଣଙ୍କର ଫୋନ୍ କ୍ୟାମେରା ଅନ୍ୟ ଏକ ଆପ୍ ଦ୍ୱାରା ବ୍ୟବହୃତ ହେଉନାହିଁ ଏବଂ ତା'ପରେ, ଏକ QR କୋଡ୍ ସ୍କାନ୍ କରିବାକୁ ଚେଷ୍ଟା କରନ୍ତୁ | <br> <br> ଯଦି ଆପଣ ତଥାପି ସ୍କାନ କରିବାରେ ଅସମର୍ଥ, <ol> <li> ଆପଣଙ୍କର ଆଣ୍ଡ୍ରଏଡ୍ ଡିଭାଇସରେ ଫୋନ୍ ସେଟିଂସମୂହକୁ ଯାଆନ୍ତୁ। </ li> <li> ଆପ୍ ଏବଂ ବିଜ୍ଞପ୍ତିକୁ ଟ୍ୟାପ୍ କରନ୍ତୁ। </ li> <li> ଷ୍ଟୋରେଜ୍ ଏବଂ କ୍ୟାଚ୍ ଟ୍ୟାପ୍ କରନ୍ତୁ। </ li> <li> କ୍ୟାଚ୍ ସଫା କରନ୍ତୁ ଟ୍ୟାପ୍ କରନ୍ତୁ। <li> ଓକେ ଟ୍ୟାପ୍ କରନ୍ତୁ। </ li> <li> ଅପୀ ଆପ୍ ଖୋଲନ୍ତୁ। ></p>""]"
"ଯଦି ମୁଁ ମୋ ମୋବାଇଲ୍ କ୍ୟାରିଅର୍ ବଦଳାଇବି?","[""<p>କିଛି ଅସୁବିଧା ନାହିଁ। ଆପଣ ପୂର୍ବଭଳି ୟୁପିଆଇ ଆପ୍ ବ୍ୟବହାର କରି ପାରିବେ।</p>""]"
"ଅନ୍ଲାଇନ୍ରେ ଜିଏସ୍ଟି ପଞ୍ଜୀକରଣ ପ୍ରକ୍ରିୟା ପାଇଁ ଡକ୍ୟୁମେଣ୍ଟଗୁଡିକ କ’ଣ?","[""<p>ଜିଏସ୍ଟି ପାଇଁ ପଞ୍ଜୀକରଣ କରିବା ସମୟରେ ଆପଣ ଆବଶ୍ୟକ କରୁଥିବା କିଛି ଡକ୍ୟୁମେଣ୍ଟ୍ ହେଉଛି <ul> <li> ଜଣେ ଆବେଦନକାରୀଙ୍କ ପାନ୍ କାର୍ଡ, ଭୋଟର, କିମ୍ବା ପ୍ରମୋଟର ଏବଂ ଭାଗୀଦାରଙ୍କ ଆଡାର୍ କାର୍ଡ। </ li> <li> ଏକ ବ୍ୟବସାୟ ଠିକଣା ପ୍ରମାଣ ଆକାରରେ | ଏକ ଲିଜ୍ ଚୁକ୍ତି, ଭଡା, କିମ୍ବା ଅନ୍ୟାନ୍ୟ ୟୁଟିଲିଟି ବିଲ୍। </ li> <li> ଫାର୍ମ, କିମ୍ବା ବ୍ୟକ୍ତିଗତ କିମ୍ବା କମ୍ପାନୀର ଆକାଉଣ୍ଟ୍ ଷ୍ଟେଟମେଣ୍ଟ୍ |</p>""]"
"QR କୋଡ୍ କ’ଣ?","[""<p>QR କୋଡ୍ ହେଉଛି ବାରକୋଡର ଏକ ଡିଜିଟାଲ୍ ଫର୍ମ ଯାହାକି ଉତ୍ପାଦ କିମ୍ବା ଏକ କମ୍ପାନୀ ବିଷୟରେ ସବିଶେଷ ତଥ୍ୟରେ ପରିପୂର୍ଣ୍ଣ | ଦେୟ ଦେବାବେଳେ ଏହା ବ୍ୟବହୃତ ହୁଏ | ଆପଣ କ୍ୟାମେରା ସେନସର ସହିତ କୋଡ୍ ସ୍କାନ୍ କରିପାରିବେ ଏବଂ ଆପଣଙ୍କୁ ଉତ୍ପାଦ / କମ୍ପାନୀ ବିଷୟରେ ସୂଚନା ଦେଖାଯିବ |</p>""]"
"SBI YONO ରେ UPI ID କିପରି ପାଇବେ?","[""<p>SBI YONO ପାଇଁ <ol style = 'list-style-type none'> <li> ଷ୍ଟେପ୍ 1 ଆପଣଙ୍କର SBI YONO ପ୍ରୟୋଗ ଖୋଲନ୍ତୁ | </ li> <li> ଷ୍ଟେପ୍ 2 YONO ଦେୟ ବିକଳ୍ପ ଚୟନ କରନ୍ତୁ | 3 BHIM UPI ବିକଳ୍ପ ବାଛନ୍ତୁ | </ li> <li> ଷ୍ଟେପ୍ 4 'ଜେନେରେଟ୍ QR' ବିକଳ୍ପ ବାଛନ୍ତୁ |</p>""]"
"ଆଧାର କାର୍ଡ ବିନା ମୁଁ ଏକ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ଖୋଲି ପାରିବି କି?","[""<p>ଆଧାର କାର୍ଡ ସହିତ ଏକ ଡେମାଟ୍ ଆକାଉଣ୍ଟ୍ ସମ୍ଭବ! <br> <br> ସମ୍ପ୍ରତି ସରକାର ଇ-କେଇସି ପ୍ରକ୍ରିୟାକୁ ପୁନ to ସମୀକ୍ଷା କରିବାକୁ ଯୋଜନା କରୁଛନ୍ତି ଏବଂ ଆଧାରକୁ ଡେମାଟ, ବାଣିଜ୍ୟ କିମ୍ବା ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ ସହିତ ଯୋଡିବା ବାଧ୍ୟତାମୂଳକ ନୁହେଁ। ତେଣୁ, ଆଧାର କାର୍ଡ ବିନା ଏକ ଡେମାଟ୍ ଆକାଉଣ୍ଟ ଖୋଲିବା ସମ୍ଭବ |</p>""]"
"TReDS ସଂସ୍ଥାଗୁଡ଼ିକ ଅଂଶଗ୍ରହଣକାରୀମାନଙ୍କର KYC (ଆପଣଙ୍କର ଗ୍ରାହକଙ୍କୁ ଜାଣନ୍ତୁ) ଗ୍ରହଣ କରନ୍ତି କି?","[""<p>ହଁ TReDS ସଂସ୍ଥାଗୁଡ଼ିକ ଦ୍ୱାରା ଗ୍ରହଣ କରାଯାଇଥିବା KYC ପ୍ରକ୍ରିୟା, ଫେବୃଆରୀ 25, 2016 (ସମୟ ସମୟରେ ସଂଶୋଧିତ) ଅନୁଯାୟୀ “ମାଷ୍ଟର ଡାଇରେକ୍ଟ୍ - ତୁମର ଗ୍ରାହକ (KYC) ନିର୍ଦ୍ଦେଶନା, 2016” ପାଳନ କରିବ |</p>""]"
"UPI ବ୍ୟବହାର କରି ମୁଁ କିପରି କ୍ରେଡିଟ୍ କାର୍ଡ ମାଧ୍ୟମରେ ଟଙ୍କା ପଠାଇବି?","[""<p>ବ୍ୟବସାୟୀ ଦେୟ ପାଇଁ ଆପଣ କେବଳ UPI ରେ କ୍ରେଡିଟ୍ କାର୍ଡ କାର୍ଡ ବ୍ୟବହାର କରିପାରିବେ |</p>""]"
"କାହା ପାଇଁ ଆଧାର-ପାନ୍ ଲିଙ୍କେଜ୍ ବାଧ୍ୟତାମୂଳକ ନୁହେଁ |","[""<p>ଆଧାର-ପାନ୍ ଲିଙ୍କେଜ୍ ଆବଶ୍ୟକତା କ ul ଣସି ବ୍ୟକ୍ତିବିଶେଷଙ୍କ ପାଇଁ ପ୍ରଯୁଜ୍ୟ ନୁହେଁ ଯିଏ <ul style = 'list-style-type none'> <li> u2022 ଆସାମ, ଜାମ୍ମୁ କାଶ୍ମୀର, ଏବଂ ମେଘାଳୟ ରାଜ୍ୟରେ ବାସ କରନ୍ତି | </ li> <li ଆୟକର ଅଧିନିୟମ, 1961. ଅନୁଯାୟୀ u2022 ଜଣେ ଅଣ-ବାସିନ୍ଦା ଭାରତର ନାଗରିକ </ li> <li> |</p>""]"
"ଦେୟକାରୀ (ଟଙ୍କା ପ୍ରେରକ) ଦେୟକାରୀଙ୍କ ଆକାଉଣ୍ଟକୁ ଜମା ହୋଇଥିବା ଅର୍ଥର ଏକ ସ୍ୱୀକୃତି ଗ୍ରହଣ କରିବେ କି?","[""<p>ରିମିଟିଂ ବ୍ୟାଙ୍କ (ଯେଉଁଠାରୁ କାରବାର ଆରମ୍ଭ ହୋଇଛି ବ୍ୟାଙ୍କ) ଆରବିଆଇରୁ (ହିତାଧିକାରୀ ବ୍ୟାଙ୍କ ମାଧ୍ୟମରେ) ଏକ ବାର୍ତ୍ତା ଗ୍ରହଣ କରିବ ଯେ ଏହି ଟଙ୍କା ହିତାଧିକାରୀ ବ୍ୟାଙ୍କ / ଗ୍ରାହକ ଆକାଉଣ୍ଟକୁ ଦିଆଯାଇଛି। ଏହା ଉପରେ ଆଧାର କରି, ରିମିଟିଙ୍ଗ ବ୍ୟାଙ୍କ ରିମିଟିଙ୍ଗ ଗ୍ରାହକଙ୍କୁ ପରାମର୍ଶ ଦେବା ଉଚିତ ଯେ ଗ୍ରହଣକାରୀ ବ୍ୟାଙ୍କର ହିତାଧିକାରୀ ଆକାଉଣ୍ଟକୁ ଟଙ୍କା ଜମା କରାଯାଇଛି।</p>""]"
